;apir_codes;asset_class;aum_comp;aum_share;base_currency;bloomberg_codes;codes;compart_id;currency;default_fundshare_id;default_share_code;default_share_isin_code;default_share_name;eng_asset_class;factsheet;has_docs;isin_codes;main_codes;management_company;moodys_timed;morning_star;morning_star_timed;name;nav;nav_euro;region;showcases;srri_risk;sub_asset_class;timed_performances;apir;bloomberg;isin;url
0;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 5601992.82};{u'date': u'2017-03-13', u'value': 5601992.82};Euro;[BNP3DYE FP];{u'isin': u'FR0011238898', u'bloomberg': u'BNP3DYE FP', u'apir': None};10497;Euro;10515;{u'type': u'isin', u'value': u'FR0011238898'};FR0011238898;3 DYN'EUROPE [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0011238898];[FR0011238898];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};3 DYN'EUROPE;{u'date': u'2017-03-13', u'value': 237};{u'date': u'2017-03-13', u'value': 237};Monde;[];3;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 1.65850305061}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 0.555814841529}, u'performance_3y': {u'date': u'2017-02-28', u'value': 12.4257543359}};;BNP3DYE FP;FR0011238898;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/3-dyneurope-classic-c-fr0011238898
1;[None];Diversifié;{u'date': u'2017-03-13', u'value': 169976475.05};{u'date': u'2017-03-13', u'value': 169976475.05};Euro;[None];{u'isin': u'FR0007471198', u'bloomberg': None, u'apir': None};18040;Euro;18041;{u'type': u'isin', u'value': u'FR0007471198'};FR0007471198;ACTIONS MONDE BNPP IP [CLASSIQUE, H];Balanced;;[DOC_FP, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0007471198];[FR0007471198];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};2;{u'date': u'2017-03-08', u'value': u'2'};ACTIONS MONDE BNPP IP;{u'date': u'2017-03-13', u'value': 2936.78};{u'date': u'2017-03-13', u'value': 2936.78};Monde;[];5;Diversifié Monde;{u'performance_1y': {u'date': u'2017-02-28', u'value': 21.4980811974}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 5.53175892254}, u'performance_5y': {u'date': u'2017-02-28', u'value': 53.7137532221}, u'performance_3y': {u'date': u'2017-02-28', u'value': 26.9971267395}};;;FR0007471198;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/diversifie-monde/actions-monde-bnpp-ip-classique-h-fr0007471198
2;[None, None, None];Produits de taux;{u'date': u'2017-03-13', u'value': 1587984164.9};{u'date': u'2017-03-13', u'value': 1223099.70319};Couronne norvégienne;[ABHOYRN NO, ABHC2ND NO, ABHOYEU NO];{u'isin': u'NO0010668114', u'bloomberg': u'ABHOYEU NO', u'apir': None};12175;Euro;12178;{u'type': u'isin', u'value': u'NO0010668114'};NO0010668114;ALFRED BERG HOYRENTE [CLASSIC EUR, D];Fixed Income;;[DOC_REPA, DOC_REPS, DOC_SP, None];[NO0010668114, NO0010446552, NO0010668106];[NO0010668114, NO0010446552, NO0010668106];ALFRED BERG KAPITALFORVALTNING AS;{u'date': None, u'value': None};1;{u'date': u'2017-03-08', u'value': u'1'};ALFRED BERG HOYRENTE;{u'date': u'2017-03-13', u'value': 7.0438};{u'date': u'2017-03-13', u'value': 7.0438};Europe;[];3;Obligations européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 28.5819}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 4.3181}};;ABHOYEU NO;NO0010668114;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/obligations-europeennes/alfred-berg-hoyrente-classic-eur-d-no0010668114
3;[None, None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 59006748.02};{u'date': u'2017-03-13', u'value': 98357.38};Dollar;[TACOJEH FP, TACOMAU FP];{u'isin': u'FR0011236652', u'bloomberg': u'TACOMAU FP', u'apir': None};10995;Dollar;11015;{u'type': u'isin', u'value': u'FR0011236652'};FR0011236652;ALPHA COMMODITY FUND [A - USD, C];Alternatives & Other;;[DOC_FP, DOC_REPA, DOC_REPS, DOC_FACTSHEET, DOC_KIID];[FR0011257310, FR0011236652];[FR0011257310, FR0011236652];THEAM;{u'date': None, u'value': None};;{u'date': None, u'value': None};ALPHA COMMODITY FUND;{u'date': u'2017-03-13', u'value': 973.83};{u'date': None, u'value': None};Monde;[];3;Matières premières;{u'performance_1y': {u'date': u'2017-02-28', u'value': -6.64558482877}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 2.10109143522}, u'performance_3y': {u'date': u'2017-02-28', u'value': 1.1234200279}};;TACOMAU FP;FR0011236652;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/matieres-premieres/alpha-commodity-fund-a-usd-c-fr0011236652
4;[None];Investissements alternatifs & Autres;{u'date': u'2016-10-25', u'value': 4729794.2};{u'date': u'2016-10-25', u'value': 4729794.2};Euro;[BNPAPLO FP];{u'isin': u'FR0010911107', u'bloomberg': u'BNPAPLO FP', u'apir': None};532;Euro;3449;{u'type': u'isin', u'value': u'FR0010911107'};FR0010911107;APPALOOSA [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0010911107];[FR0010911107];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};APPALOOSA;{u'date': u'2016-10-25', u'value': 218.61};{u'date': u'2016-10-25', u'value': 218.61};Monde;[];2;Produits structurés;{u'performance_1y': {u'date': u'2016-09-29', u'value': -0.302530253025}, u'performance_ytd': {u'date': u'2016-10-25', u'value': -0.618266127199}, u'performance_5y': {u'date': u'2016-09-29', u'value': 15.2989821883}, u'performance_3y': {u'date': u'2016-09-29', u'value': 4.70322052665}};;BNPAPLO FP;FR0010911107;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/appaloosa-classic-c-fr0010911107
5;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 54382955.4};{u'date': u'2017-03-13', u'value': 54382955.4};Euro;[ATHAOCL FP];{u'isin': u'FR0012649275', u'bloomberg': u'ATHAOCL FP', u'apir': None};17844;Euro;17846;{u'type': u'isin', u'value': u'FR0012649275'};FR0012649275;ATHENA AOUT 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0012649275];[FR0012649275];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA AOUT 2023;{u'date': u'2017-03-13', u'value': 1005.83};{u'date': u'2017-03-13', u'value': 1005.83};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 17.0803341438}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 5.00146149992}};;ATHAOCL FP;FR0012649275;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-aout-2023-classic-c-fr0012649275
6;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 32657949.2};{u'date': u'2017-03-13', u'value': 32657949.2};Euro;[ATD23AE FP];{u'isin': u'FR0012892453', u'bloomberg': u'ATD23AE FP', u'apir': None};18127;Euro;18128;{u'type': u'isin', u'value': u'FR0012892453'};FR0012892453;ATHENA DECEMBRE 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPS, DOC_SP, DOC_KIID];[FR0012892453];[FR0012892453];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA DECEMBRE 2023;{u'date': u'2017-03-13', u'value': 1009.91};{u'date': u'2017-03-13', u'value': 1009.91};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.9558466536}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 4.36836013393}};;ATD23AE FP;FR0012892453;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-decembre-2023-classic-c-fr0012892453
7;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 41354293.15};{u'date': u'2017-03-13', u'value': 41354293.15};Euro;[BNPASCL FP];{u'isin': u'FR0012649283', u'bloomberg': u'BNPASCL FP', u'apir': None};17845;Euro;17847;{u'type': u'isin', u'value': u'FR0012649283'};FR0012649283;ATHENA SEMI AIRBAG AOUT 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0012649283];[FR0012649283];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA SEMI AIRBAG AOUT 2023;{u'date': u'2017-03-13', u'value': 999.3};{u'date': u'2017-03-13', u'value': 999.3};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.2738424084}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 3.47291252485}};;BNPASCL FP;FR0012649283;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-semi-airbag-aout-2023-classic-c-fr0012649283
8;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 20757468.24};{u'date': u'2017-03-13', u'value': 20757468.24};Euro;[ATHS23A FP];{u'isin': u'FR0012892461', u'bloomberg': u'ATHS23A FP', u'apir': None};18119;Euro;18123;{u'type': u'isin', u'value': u'FR0012892461'};FR0012892461;ATHENA SEMI AIRBAG DECEMBRE 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPS, DOC_SP, DOC_KIID];[FR0012892461];[FR0012892461];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA SEMI AIRBAG DECEMBRE 2023;{u'date': u'2017-03-13', u'value': 1002.51};{u'date': u'2017-03-13', u'value': 1002.51};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 13.3277083646}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 3.78917290431}};;ATHS23A FP;FR0012892461;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-semi-airbag-decembre-2023-classic-c-fr0012892461
9;[None, None];Marché monétaire;{u'date': u'2017-03-13', u'value': 2898865.6};{u'date': u'2017-03-13', u'value': 1799985.76};Euro;[None, None];{u'isin': u'FR0010576777', u'bloomberg': None, u'apir': None};18035;Euro;18045;{u'type': u'isin', u'value': u'FR0010576777'};FR0010576777;BAMI TRESORERIE [CLASSIC, C];Money Market;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0010576777, FR0010576769];[FR0010576777, FR0010576769];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BAMI TRESORERIE;{u'date': u'2017-03-13', u'value': 1514.8818};{u'date': u'2017-03-13', u'value': 1514.8818};Europe;[];1;Marché monétaire EUR;{u'performance_1y': {u'date': u'2017-02-28', u'value': 0.00164355947434}, u'performance_ytd': {u'date': u'2017-03-13', u'value': -0.0330873405486}, u'performance_5y': {u'date': u'2017-02-28', u'value': 0.301189026005}, u'performance_3y': {u'date': u'2017-02-28', u'value': 0.31447148873}};;;FR0010576777;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/marche-monetaire-eur/bami-tresorerie-classic-c-fr0010576777
10;[None];Produits de taux;{u'date': u'2017-03-13', u'value': 143038120.27};{u'date': u'2017-03-13', u'value': 129923021.55};Euro;[BNPGRAN FP];{u'isin': u'FR0010174425', u'bloomberg': u'BNPGRAN FP', u'apir': None};1686;Euro;4508;{u'type': u'isin', u'value': u'FR0010174425'};FR0010174425;BNP PARIBAS 1 AN PROTECTION 99 [CLASSIC, C];Fixed Income;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/15f5f44d-00af-4375-b931-f1f9cebf6740/512', u'extension': u'pdf'};[DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010174425];[FR0010174425];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS 1 AN PROTECTION 99;{u'date': u'2017-03-13', u'value': 24586.35};{u'date': u'2017-03-13', u'value': 24586.35};Europe;[];1;Obligations européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': -0.293170750686}, u'performance_ytd': {u'date': u'2017-03-13', u'value': -0.130065475497}, u'performance_5y': {u'date': u'2017-02-28', u'value': 1.09565804818}, u'performance_3y': {u'date': u'2017-02-28', u'value': 0.34767059883}};;BNPGRAN FP;FR0010174425;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/obligations-europeennes/bnp-paribas-1-an-protection-99-classic-c-fr0010174425
11;[None];Investissements alternatifs & Autres;{u'date': u'2017-02-05', u'value': 10440404.31};{u'date': u'2017-02-05', u'value': 10440404.31};Euro;[BNPDPEA FP];{u'isin': u'FR0011132380', u'bloomberg': u'BNPDPEA FP', u'apir': None};7035;Euro;7036;{u'type': u'isin', u'value': u'FR0011132380'};FR0011132380;BNP PARIBAS 4 DRAGONS PROTECTION 95 2017 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0011132380];[FR0011132380];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS 4 DRAGONS PROTECTION 95 2017;{u'date': u'2017-02-05', u'value': 1071.22};{u'date': u'2017-02-05', u'value': 1071.22};Monde;[];2;Produits structurés;{u'performance_1y': {u'date': u'2017-01-23', u'value': 8.1631612232}, u'performance_ytd': {u'date': u'2017-02-06', u'value': 3.03400392353}, u'performance_5y': {u'date': u'2017-01-23', u'value': 4.51714009738}, u'performance_3y': {u'date': u'2017-01-23', u'value': 4.12918810637}};;BNPDPEA FP;FR0011132380;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-4-dragons-protection-95-2017-classic-c-fr0011132380
12;[None, None];Diversifié;{u'date': u'2017-03-14', u'value': 712483765.62};{u'date': u'2017-03-14', u'value': 195550176.02};Euro;[BNPEMAC LX, BNPECMD LX];{u'isin': u'LU1078737910', u'bloomberg': u'BNPEMAC LX', u'apir': None};16534;Euro;16535;{u'type': u'isin', u'value': u'LU1078737910'};LU1078737910;BNP PARIBAS A FUND EUROPEAN MULTI-ASSET INCOME [CLASSIC, C];Balanced;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/bc856cef-6a19-4ac7-bde6-5d692a50d4a4/512', u'extension': u'pdf'};[DOC_FLYER-BPF, DOC_FLYERP, DOC_FP, DOC_NOTICE-DIVIDEND, DOC_NOTICE-MEETING, DOC_NOTICE-PROSPECTUS, DOC_REPA, DOC_REPS, DOC_FACTSHEET, DOC_KIID];[LU1078737910, LU1078738058];[LU1078737910, LU1078738058];BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS A FUND EUROPEAN MULTI-ASSET INCOME;{u'date': u'2017-03-14', u'value': 109.74};{u'date': u'2017-03-14', u'value': 109.74};Monde;[];4;Diversifié Monde;{u'performance_1y': {u'date': u'2017-02-28', u'value': 5.26668581825}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 0.457289189683}};;BNPEMAC LX;LU1078737910;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/diversifie-monde/bnp-paribas-a-fund-european-multi-asset-income-classic-c-lu1078737910
13;[None];Actions;{u'date': u'2017-03-13', u'value': 40783043.07};{u'date': u'2017-03-13', u'value': 40783043.07};Euro;[None];{u'isin': u'FR0012558815', u'bloomberg': None, u'apir': None};18075;Euro;18081;{u'type': u'isin', u'value': u'FR0012558815'};FR0012558815;BNP PARIBAS ACTIONS EMERGENTES [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/bf7c139b-5dc1-4de3-9ffa-2a0da11230a8/512', u'extension': u'pdf'};[DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0012558815];[FR0012558815];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS EMERGENTES;{u'date': u'2017-03-13', u'value': 99.05};{u'date': u'2017-03-13', u'value': 99.05};Monde;[];6;Actions internationales;{u'performance_1y': {u'date': u'2017-02-28', u'value': 18.8008616563}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 6.6774367259}, u'performance_3y': {u'date': u'2017-02-28', u'value': 16.3804572648}};;;FR0012558815;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-internationales/bnp-paribas-actions-emergentes-classic-c-fr0012558815
14;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 101734058.18};{u'date': u'2017-03-13', u'value': 101734058.18};Euro;[BNPCAPL FP];{u'isin': u'FR0010077206', u'bloomberg': u'BNPCAPL FP', u'apir': None};1680;Euro;4496;{u'type': u'isin', u'value': u'FR0010077206'};FR0010077206;BNP PARIBAS ACTIONS EURO PROTEGE [CLASSIC, C];Alternatives & Other;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/f1f77d7e-8a74-4f52-8693-399f7a03c92e/512', u'extension': u'pdf'};[DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_IPTM, DOC_KIID];[FR0010077206];[FR0010077206];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS EURO PROTEGE;{u'date': u'2017-03-13', u'value': 193.4};{u'date': u'2017-03-13', u'value': 193.4};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 0.515301293511}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 1.02381947346}, u'performance_5y': {u'date': u'2017-02-28', u'value': -8.1888477979}, u'performance_3y': {u'date': u'2017-02-28', u'value': -7.01430100204}};;BNPCAPL FP;FR0010077206;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-actions-euro-protege-classic-c-fr0010077206
15;[None, None];Actions;{u'date': u'2017-03-13', u'value': 1189031048.79};{u'date': u'2017-03-13', u'value': 649949391.89};Euro;[BNPEAAC FP, BNPAPEU FP];{u'isin': u'FR0010115410', u'bloomberg': u'BNPEAAC FP', u'apir': None};1595;Euro;4195;{u'type': u'isin', u'value': u'FR0010115410'};FR0010115410;BNP PARIBAS ACTIONS EUROLAND [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/f4968d00-f176-46e7-80c0-6eb42a1880d3/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010116541, FR0010115410];[FR0010116541, FR0010115410];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROLAND;{u'date': u'2017-03-13', u'value': 11.4811};{u'date': u'2017-03-13', u'value': 11.4811};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.0211505318}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.41090040533}, u'performance_5y': {u'date': u'2017-02-28', u'value': 58.4647873351}, u'performance_3y': {u'date': u'2017-02-28', u'value': 14.7478396519}};;BNPEAAC FP;FR0010115410;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-euroland-classic-c-fr0010115410
16;[None, None];Actions;{u'date': u'2017-03-13', u'value': 426292983.97};{u'date': u'2017-03-13', u'value': 379453560.09};Euro;[BNPETHE FP, BNPETHC FP];{u'isin': u'FR0010302398', u'bloomberg': u'BNPETHC FP', u'apir': None};1656;Euro;4442;{u'type': u'isin', u'value': u'FR0010302398'};FR0010302398;BNP PARIBAS ACTIONS EUROPE RESPONSABLE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/50552793-9bde-4fd5-8171-e257bf1e47e8/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_TRANSPARENCY, DOC_XFR, DOC_FACTSHEET, DOC_KIID];[FR0010028969, FR0010302398];[FR0010028969, FR0010302398];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROPE RESPONSABLE;{u'date': u'2017-03-13', u'value': 266.43};{u'date': u'2017-03-13', u'value': 266.43};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 9.27343455892}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 1.95155550453}, u'performance_5y': {u'date': u'2017-02-28', u'value': 42.5360104758}, u'performance_3y': {u'date': u'2017-02-28', u'value': 9.64952780693}};;BNPETHC FP;FR0010302398;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-europe-responsable-classic-c-fr0010302398
17;[None, None];Actions;{u'date': u'2017-03-13', u'value': 88158444.5};{u'date': u'2017-03-13', u'value': 78521638.72};Euro;[BNPAERD FP, BNPAERP FP];{u'isin': u'FR0010028910', u'bloomberg': u'BNPAERP FP', u'apir': None};1697;Euro;4546;{u'type': u'isin', u'value': u'FR0010028910'};FR0010028910;BNP PARIBAS ACTIONS EUROPE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/8136847a-f389-4dac-9ebe-286b818b1916/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010028910, FR0010107235];[FR0010028910, FR0010107235];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROPE;{u'date': u'2017-03-13', u'value': 185.23};{u'date': u'2017-03-13', u'value': 185.23};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 12.2171667486}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.60897183653}, u'performance_5y': {u'date': u'2017-02-28', u'value': 46.3475262609}, u'performance_3y': {u'date': u'2017-02-28', u'value': 11.0158150852}};;BNPAERP FP;FR0010028910;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-europe-classic-c-fr0010028910
18;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-13', u'value': 34798854.37};{u'date': u'2017-03-13', u'value': 34798854.37};Euro;[BNPACLU FP];{u'isin': u'FR0010077230', u'bloomberg': u'BNPACLU FP', u'apir': None};464;Euro;4677;{u'type': u'isin', u'value': u'FR0010077230'};FR0010077230;BNP PARIBAS ACTIONS MONDE PROTEGE [CLASSIC, C];Alternatives & Other;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/0fd11399-133c-413b-82a1-46f39fe0cec3/512', u'extension': u'pdf'};[DOC_FLYER-BPF, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010077230];[FR0010077230];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS MONDE PROTEGE;{u'date': u'2017-03-13', u'value': 1307.91};{u'date': u'2017-03-13', u'value': 1307.91};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 4.37033190878}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 1.1132499942}, u'performance_5y': {u'date': u'2017-02-28', u'value': 6.2425292123}, u'performance_3y': {u'date': u'2017-02-28', u'value': 2.4897632607}};;BNPACLU FP;FR0010077230;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-actions-monde-protege-classic-c-fr0010077230
19;[None];Actions;{u'date': u'2017-03-13', u'value': 130842294.19};{u'date': u'2017-03-13', u'value': 118345833.41};Euro;[BNPAMON FP];{u'isin': u'FR0010108977', u'bloomberg': u'BNPAMON FP', u'apir': None};1596;Euro;4197;{u'type': u'isin', u'value': u'FR0010108977'};FR0010108977;BNP PARIBAS ACTIONS MONDE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/dd0d0234-1997-4910-b859-88b9e2f2648b/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010108977];[FR0010108977];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS MONDE;{u'date': u'2017-03-13', u'value': 19.46};{u'date': u'2017-03-13', u'value': 19.46};Monde;[];5;Actions internationales;{u'performance_1y': {u'date': u'2017-02-28', u'value': 17.1084337349}, u'performance_ytd': {u'date': u'2017-03-13', u'value': 4.23138725228}, u'performance_5y': {u'date': u'2017-02-28', u'value': 72.1877767936}, u'performance_3y': {u'date': u'2017-02-28', u'value': 47.6082004556}};;BNPAMON FP;FR0010108977;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-internationales/bnp-paribas-actions-monde-classic-c-fr0010108977
