;apir_codes;asset_class;aum_comp;aum_share;base_currency;bloomberg_codes;codes;compart_id;currency;default_fundshare_id;default_share_code;default_share_isin_code;default_share_name;eng_asset_class;factsheet;has_docs;isin_codes;main_codes;management_company;moodys_timed;morning_star;morning_star_timed;name;nav;nav_euro;region;showcases;srri_risk;sub_asset_class;timed_performances;apir;bloomberg;isin;url
0;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 5595825.82};{u'date': u'2017-03-09', u'value': 5595825.82};Euro;[BNP3DYE FP];{u'isin': u'FR0011238898', u'bloomberg': u'BNP3DYE FP', u'apir': None};10497;Euro;10515;{u'type': u'isin', u'value': u'FR0011238898'};FR0011238898;3 DYN'EUROPE [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0011238898];[FR0011238898];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};3 DYN'EUROPE;{u'date': u'2017-03-09', u'value': 236.54};{u'date': u'2017-03-09', u'value': 236.54};Monde;[];3;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 1.65850305061}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 0.360643217786}, u'performance_3y': {u'date': u'2017-02-28', u'value': 12.4257543359}};;BNP3DYE FP;FR0011238898;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/3-dyneurope-classic-c-fr0011238898
1;[None];Diversifié;{u'date': u'2017-03-09', u'value': 169207916.63};{u'date': u'2017-03-09', u'value': 169207916.63};Euro;[None];{u'isin': u'FR0007471198', u'bloomberg': None, u'apir': None};18040;Euro;18041;{u'type': u'isin', u'value': u'FR0007471198'};FR0007471198;ACTIONS MONDE BNPP IP [CLASSIQUE, H];Balanced;;[DOC_FP, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0007471198];[FR0007471198];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};2;{u'date': u'2017-03-08', u'value': u'2'};ACTIONS MONDE BNPP IP;{u'date': u'2017-03-09', u'value': 2923.51};{u'date': u'2017-03-09', u'value': 2923.51};Monde;[];5;Diversifié Monde;{u'performance_1y': {u'date': u'2017-02-28', u'value': 21.4980811974}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 5.05490793578}, u'performance_5y': {u'date': u'2017-02-28', u'value': 53.7137532221}, u'performance_3y': {u'date': u'2017-02-28', u'value': 26.9971267395}};;;FR0007471198;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/diversifie-monde/actions-monde-bnpp-ip-classique-h-fr0007471198
2;[None, None, None];Produits de taux;{u'date': u'2017-03-10', u'value': 1587210006.11};{u'date': u'2017-03-10', u'value': 1251328.19796};Couronne norvégienne;[ABHOYEU NO, ABHOYRN NO, ABHC2ND NO];{u'isin': u'NO0010668114', u'bloomberg': u'ABHOYEU NO', u'apir': None};12175;Euro;12178;{u'type': u'isin', u'value': u'NO0010668114'};NO0010668114;ALFRED BERG HOYRENTE [CLASSIC EUR, D];Fixed Income;;[DOC_REPA, DOC_REPS, DOC_SP, None];[NO0010668106, NO0010446552, NO0010668114];[NO0010668106, NO0010446552, NO0010668114];ALFRED BERG KAPITALFORVALTNING AS;{u'date': None, u'value': None};1;{u'date': u'2017-03-08', u'value': u'1'};ALFRED BERG HOYRENTE;{u'date': u'2017-03-10', u'value': 7.0187};{u'date': u'2017-03-10', u'value': 7.0187};Europe;[];3;Obligations européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 28.5819}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 4.6699}};;ABHOYEU NO;NO0010668114;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/obligations-europeennes/alfred-berg-hoyrente-classic-eur-d-no0010668114
3;[None, None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 58451894.96};{u'date': u'2017-03-09', u'value': 98234.55};Dollar;[TACOJEH FP, TACOMAU FP];{u'isin': u'FR0011236652', u'bloomberg': u'TACOMAU FP', u'apir': None};10995;Dollar;11015;{u'type': u'isin', u'value': u'FR0011236652'};FR0011236652;ALPHA COMMODITY FUND [A - USD, C];Alternatives & Other;;[DOC_FP, DOC_REPA, DOC_REPS, DOC_FACTSHEET, DOC_KIID];[FR0011236652, FR0011257310];[FR0011236652, FR0011257310];THEAM;{u'date': None, u'value': None};;{u'date': None, u'value': None};ALPHA COMMODITY FUND;{u'date': u'2017-03-09', u'value': 972.61};{u'date': None, u'value': None};Monde;[];3;Matières premières;{u'performance_1y': {u'date': u'2017-02-28', u'value': -6.64558482877}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 1.97318067919}, u'performance_3y': {u'date': u'2017-02-28', u'value': 1.1234200279}};;TACOMAU FP;FR0011236652;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/matieres-premieres/alpha-commodity-fund-a-usd-c-fr0011236652
4;[None];Investissements alternatifs & Autres;{u'date': u'2016-10-25', u'value': 4729794.2};{u'date': u'2016-10-25', u'value': 4729794.2};Euro;[BNPAPLO FP];{u'isin': u'FR0010911107', u'bloomberg': u'BNPAPLO FP', u'apir': None};532;Euro;3449;{u'type': u'isin', u'value': u'FR0010911107'};FR0010911107;APPALOOSA [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0010911107];[FR0010911107];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};APPALOOSA;{u'date': u'2016-10-25', u'value': 218.61};{u'date': u'2016-10-25', u'value': 218.61};Monde;[];2;Produits structurés;{u'performance_1y': {u'date': u'2016-09-29', u'value': -0.302530253025}, u'performance_ytd': {u'date': u'2016-10-25', u'value': -0.618266127199}, u'performance_5y': {u'date': u'2016-09-29', u'value': 15.2989821883}, u'performance_3y': {u'date': u'2016-09-29', u'value': 4.70322052665}};;BNPAPLO FP;FR0010911107;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/appaloosa-classic-c-fr0010911107
5;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 54304706.98};{u'date': u'2017-03-09', u'value': 54304706.98};Euro;[ATHAOCL FP];{u'isin': u'FR0012649275', u'bloomberg': u'ATHAOCL FP', u'apir': None};17844;Euro;17846;{u'type': u'isin', u'value': u'FR0012649275'};FR0012649275;ATHENA AOUT 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0012649275];[FR0012649275];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA AOUT 2023;{u'date': u'2017-03-09', u'value': 1003.35};{u'date': u'2017-03-09', u'value': 1003.35};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 17.0803341438}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 4.742567229}};;ATHAOCL FP;FR0012649275;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-aout-2023-classic-c-fr0012649275
6;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 32663867.19};{u'date': u'2017-03-09', u'value': 32663867.19};Euro;[ATD23AE FP];{u'isin': u'FR0012892453', u'bloomberg': u'ATD23AE FP', u'apir': None};18127;Euro;18128;{u'type': u'isin', u'value': u'FR0012892453'};FR0012892453;ATHENA DECEMBRE 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPS, DOC_SP, DOC_KIID];[FR0012892453];[FR0012892453];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA DECEMBRE 2023;{u'date': u'2017-03-09', u'value': 1008.6};{u'date': u'2017-03-09', u'value': 1008.6};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.9558466536}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 4.23297920714}};;ATD23AE FP;FR0012892453;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-decembre-2023-classic-c-fr0012892453
7;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 41405796.94};{u'date': u'2017-03-09', u'value': 41405796.94};Euro;[BNPASCL FP];{u'isin': u'FR0012649283', u'bloomberg': u'BNPASCL FP', u'apir': None};17845;Euro;17847;{u'type': u'isin', u'value': u'FR0012649283'};FR0012649283;ATHENA SEMI AIRBAG AOUT 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0012649283];[FR0012649283];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA SEMI AIRBAG AOUT 2023;{u'date': u'2017-03-09', u'value': 999.57};{u'date': u'2017-03-09', u'value': 999.57};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.2738424084}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.50086978131}};;BNPASCL FP;FR0012649283;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-semi-airbag-aout-2023-classic-c-fr0012649283
8;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 20765608.04};{u'date': u'2017-03-09', u'value': 20765608.04};Euro;[ATHS23A FP];{u'isin': u'FR0012892461', u'bloomberg': u'ATHS23A FP', u'apir': None};18119;Euro;18123;{u'type': u'isin', u'value': u'FR0012892461'};FR0012892461;ATHENA SEMI AIRBAG DECEMBRE 2023 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPS, DOC_SP, DOC_KIID];[FR0012892461];[FR0012892461];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};ATHENA SEMI AIRBAG DECEMBRE 2023;{u'date': u'2017-03-09', u'value': 1001.9};{u'date': u'2017-03-09', u'value': 1001.9};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 13.3277083646}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.72602002257}};;ATHS23A FP;FR0012892461;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/athena-semi-airbag-decembre-2023-classic-c-fr0012892461
9;[None, None];Marché monétaire;{u'date': u'2017-03-09', u'value': 2898930.26};{u'date': u'2017-03-09', u'value': 1800026.66};Euro;[None, None];{u'isin': u'FR0010576777', u'bloomberg': None, u'apir': None};18035;Euro;18045;{u'type': u'isin', u'value': u'FR0010576777'};FR0010576777;BAMI TRESORERIE [CLASSIC, C];Money Market;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0010576769, FR0010576777];[FR0010576769, FR0010576777];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BAMI TRESORERIE;{u'date': u'2017-03-09', u'value': 1514.9162};{u'date': u'2017-03-09', u'value': 1514.9162};Europe;[];1;Marché monétaire EUR;{u'performance_1y': {u'date': u'2017-02-28', u'value': 0.00164355947434}, u'performance_ytd': {u'date': u'2017-03-09', u'value': -0.030817287667}, u'performance_5y': {u'date': u'2017-02-28', u'value': 0.301189026005}, u'performance_3y': {u'date': u'2017-02-28', u'value': 0.31447148873}};;;FR0010576777;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/marche-monetaire-eur/bami-tresorerie-classic-c-fr0010576777
